Time,Value
2020-06-10 4:45:00,878787
2020-06-10 4:50:00,879985
2020-06-10 4:55:00,881277
2020-06-10 5:00:00,882884
2020-06-10 5:05:00,884541
2020-06-10 5:10:00,885995
2020-06-10 5:15:00,887324
2020-06-10 5:20:00,888639
2020-06-10 5:25:00,890049
2020-06-10 5:30:00,891507
2020-06-10 5:35:00,892698
2020-06-10 5:40:00,893769
2020-06-10 5:45:00,895009
2020-06-10 5:50:00,896047
2020-06-10 5:55:00,896875
2020-06-10 6:00:00,898041
2020-06-10 6:05:00,898877
2020-06-10 6:10:00,899786
2020-06-10 6:15:00,900599
2020-06-10 6:20:00,901465
2020-06-10 6:25:00,902277
2020-06-10 6:30:00,903022
2020-06-10 6:35:00,903763
2020-06-10 6:40:00,904593
2020-06-10 6:45:00,905402
2020-06-10 6:50:00,906308
2020-06-10 6:55:00,907070
2020-06-10 7:00:00,907922
2020-06-10 7:05:00,908643
2020-06-10 7:10:00,909085
2020-06-10 7:15:00,909842
2020-06-10 7:20:00,910610
2020-06-10 7:25:00,911248
2020-06-10 7:30:00,911832
2020-06-10 7:35:00,912461
2020-06-10 7:40:00,913045
2020-06-10 7:45:00,913501
2020-06-10 7:50:00,914047
2020-06-10 7:55:00,914368
2020-06-10 8:00:00,915076
2020-06-10 8:05:00,915598
2020-06-10 8:10:00,915912
2020-06-10 8:15:00,916349
2020-06-10 8:20:00,916714
2020-06-10 8:25:00,917085
2020-06-10 8:30:00,917420
2020-06-10 8:35:00,917636
2020-06-10 8:40:00,918006
2020-06-10 8:45:00,918124
2020-06-10 8:50:00,918469
2020-06-10 8:55:00,918717
2020-06-10 9:00:00,918796
2020-06-10 9:05:00,919139
2020-06-10 9:10:00,919405
2020-06-10 9:15:00,919518
2020-06-10 9:20:00,919663
2020-06-10 9:25:00,919998
2020-06-10 9:30:00,920371
2020-06-10 9:35:00,920623
2020-06-10 9:40:00,920980
2020-06-10 9:45:00,921140
2020-06-10 9:50:00,921265
2020-06-10 9:55:00,921423
2020-06-10 10:00:00,921622
2020-06-10 10:05:00,921937
2020-06-10 10:10:00,921931
2020-06-10 10:15:00,921800
2020-06-10 10:20:00,921958
2020-06-10 10:25:00,922118
2020-06-10 10:30:00,922214
2020-06-10 10:35:00,922337
2020-06-10 10:40:00,922463
2020-06-10 10:45:00,922540
2020-06-10 10:50:00,922722
2020-06-10 10:55:00,922839
2020-06-10 11:00:00,922998
2020-06-10 11:05:00,923143
2020-06-10 11:10:00,923265
2020-06-10 11:15:00,923171
2020-06-10 11:20:00,923486
2020-06-10 11:25:00,923615
2020-06-10 11:30:00,923692
2020-06-10 11:35:00,923572
2020-06-10 11:40:00,923470
2020-06-10 11:45:00,923431
2020-06-10 11:50:00,923411
2020-06-10 11:55:00,923379
2020-06-10 12:00:00,923376
2020-06-10 12:05:00,923748
2020-06-10 12:10:00,923513
2020-06-10 12:15:00,923326
2020-06-10 12:20:00,923190
2020-06-10 12:25:00,923362
2020-06-10 12:30:00,923322
2020-06-10 12:35:00,923270
2020-06-10 12:40:00,923270
2020-06-10 12:45:00,923351
2020-06-10 12:50:00,923350
2020-06-10 12:55:00,923315
2020-06-10 13:00:00,923126
2020-06-10 13:05:00,923047
2020-06-10 13:10:00,922938
2020-06-10 13:15:00,922657
2020-06-10 13:20:00,922580
2020-06-10 13:25:00,922536
2020-06-10 13:30:00,922419
2020-06-10 13:35:00,922109
2020-06-10 13:40:00,921919
2020-06-10 13:45:00,921844
2020-06-10 13:50:00,921632
2020-06-10 13:55:00,921612
2020-06-10 14:00:00,921341
2020-06-10 14:05:00,921216
2020-06-10 14:10:00,920904
2020-06-10 14:15:00,920718
2020-06-10 14:20:00,920394
2020-06-10 14:25:00,919964
2020-06-10 14:30:00,919806
2020-06-10 14:35:00,919530
2020-06-10 14:40:00,919382
2020-06-10 14:45:00,919095
2020-06-10 14:50:00,918752
2020-06-10 14:55:00,918462
2020-06-10 15:00:00,918474
2020-06-10 15:05:00,918260
2020-06-10 15:10:00,917963
2020-06-10 15:15:00,917659
2020-06-10 15:20:00,917374
2020-06-10 15:25:00,917072
2020-06-10 15:30:00,916862
2020-06-10 15:35:00,916838
2020-06-10 15:40:00,916493
2020-06-10 15:45:00,916173
2020-06-10 15:50:00,915867
2020-06-10 15:55:00,915664
2020-06-10 16:00:00,915258
2020-06-10 16:05:00,914984
2020-06-10 16:10:00,914729
2020-06-10 16:15:00,914526
2020-06-10 16:20:00,914218
2020-06-10 16:25:00,913710
2020-06-10 16:30:00,913740
2020-06-10 16:35:00,913346
2020-06-10 16:40:00,913154
2020-06-10 16:45:00,912871
2020-06-10 16:50:00,912659
2020-06-10 16:55:00,912592
2020-06-10 17:00:00,912358
2020-06-10 17:05:00,912069
2020-06-10 17:10:00,911686
2020-06-10 17:15:00,911301
2020-06-10 17:20:00,910758
2020-06-10 17:25:00,910565
2020-06-10 17:30:00,910233
2020-06-10 17:35:00,909820
2020-06-10 17:40:00,909446
2020-06-10 17:45:00,908887
2020-06-10 17:50:00,908201
2020-06-10 17:55:00,908145
2020-06-10 18:00:00,907763
2020-06-10 18:05:00,907389
2020-06-10 18:10:00,907084
2020-06-10 18:15:00,906689
2020-06-10 18:20:00,906135
2020-06-10 18:25:00,905773
2020-06-10 18:30:00,905453
2020-06-10 18:35:00,905264
2020-06-10 18:40:00,904690
2020-06-10 18:45:00,904182
2020-06-10 18:50:00,903935
2020-06-10 18:55:00,903639
2020-06-10 19:00:00,903152
2020-06-10 19:05:00,902891
2020-06-10 19:10:00,902438
2020-06-10 19:15:00,902044
2020-06-10 19:20:00,901572
2020-06-10 19:25:00,900907
2020-06-10 19:30:00,900130
2020-06-10 19:35:00,899529
2020-06-10 19:40:00,898767
2020-06-10 19:45:00,898073
2020-06-10 19:50:00,897263
2020-06-10 19:55:00,896310
2020-06-10 20:00:00,895479
2020-06-10 20:05:00,894761
2020-06-10 20:10:00,894009
2020-06-10 20:15:00,892917
2020-06-10 20:20:00,892006
2020-06-10 20:25:00,890829
2020-06-10 20:30:00,889698
2020-06-10 20:35:00,888420
2020-06-10 20:40:00,887344
2020-06-10 20:45:00,886245
2020-06-10 20:50:00,885251
2020-06-10 20:55:00,884148
2020-06-10 21:00:00,882794
2020-06-10 21:05:00,881590
2020-06-10 21:10:00,880538
2020-06-10 21:15:00,879366
2020-06-10 21:20:00,878426
2020-06-10 21:25:00,877412
2020-06-10 21:30:00,876309
2020-06-10 21:35:00,875190
2020-06-10 21:40:00,874282
2020-06-10 21:45:00,873418
2020-06-10 21:50:00,872537
2020-06-10 21:55:00,871773
2020-06-10 22:00:00,870787
2020-06-10 22:05:00,869879
2020-06-10 22:10:00,869048
2020-06-10 22:15:00,868354
2020-06-10 22:20:00,867742
2020-06-10 22:25:00,867012
2020-06-10 22:30:00,866474
2020-06-10 22:35:00,865978
2020-06-10 22:40:00,865415
2020-06-10 22:45:00,864876
2020-06-10 22:50:00,864455
2020-06-10 22:55:00,864043
2020-06-10 23:00:00,863527
2020-06-10 23:05:00,863027
2020-06-10 23:10:00,862606
2020-06-10 23:15:00,862286
2020-06-10 23:20:00,861912
2020-06-10 23:25:00,861563
2020-06-10 23:30:00,861244
2020-06-10 23:35:00,860957
2020-06-10 23:40:00,860704
2020-06-10 23:45:00,860504
2020-06-10 23:50:00,860283
2020-06-10 23:55:00,860057
2020-06-11 0:00:00,859743
2020-06-11 0:05:00,859284
2020-06-11 0:10:00,859018
2020-06-11 0:15:00,858719
2020-06-11 0:20:00,858554
2020-06-11 0:25:00,858310
2020-06-11 0:30:00,858070
2020-06-11 0:35:00,857923
2020-06-11 0:40:00,857660
2020-06-11 0:45:00,857406
2020-06-11 0:50:00,857216
2020-06-11 0:55:00,857041
2020-06-11 1:00:00,856790
2020-06-11 1:05:00,856710
2020-06-11 1:10:00,856656
2020-06-11 1:15:00,856556
2020-06-11 1:20:00,856442
2020-06-11 1:25:00,856342
2020-06-11 1:30:00,856231
2020-06-11 1:35:00,856219
2020-06-11 1:40:00,856232
2020-06-11 1:45:00,856221
2020-06-11 1:50:00,856171
2020-06-11 1:55:00,856130
2020-06-11 2:00:00,856156
2020-06-11 2:05:00,856218
2020-06-11 2:10:00,856258
2020-06-11 2:15:00,856311
2020-06-11 2:20:00,856380
2020-06-11 2:25:00,856615
2020-06-11 2:30:00,856797
2020-06-11 2:35:00,856837
2020-06-11 2:40:00,857185
2020-06-11 2:45:00,857553
2020-06-11 2:50:00,857892
2020-06-11 2:55:00,858299
2020-06-11 3:00:00,858981
2020-06-11 3:05:00,859621
2020-06-11 3:10:00,860259
2020-06-11 3:15:00,860830
2020-06-11 3:20:00,861596
2020-06-11 3:25:00,862252
2020-06-11 3:30:00,863065
