,Time,Value,Min_limit,Max_limit
273,2020-06-16 00:45:00,871700.0,841539.2673797556,867348.7326202444
274,2020-06-16 00:50:00,871449.0,841289.5255208786,867160.4744791214
275,2020-06-16 01:00:00,871028.0,840607.1554495675,867163.8445504325
276,2020-06-16 01:05:00,871010.0,840450.1949806003,867098.8050193997
277,2020-06-16 01:10:00,870889.0,840286.4828874717,867050.5171125283
278,2020-06-16 01:15:00,870782.0,840033.1410017838,866874.8589982162
279,2020-06-16 01:20:00,870692.0,839954.1932124671,866754.8067875329
280,2020-06-16 01:25:00,870589.0,839795.3958306349,866655.6041693651
281,2020-06-16 01:30:00,870517.0,839615.4270077678,866563.5729922322
282,2020-06-16 01:35:00,870517.0,839296.4753623145,866622.5246376855
283,2020-06-16 01:40:00,870514.0,839077.230022597,866642.769977403
284,2020-06-16 01:45:00,870427.0,838785.7462977349,866792.2537022651
285,2020-06-16 01:50:00,870404.0,838556.0150545909,866769.9849454091
286,2020-06-16 01:55:00,870358.0,838523.9567751439,866627.0432248561
287,2020-06-16 02:00:00,870348.0,838433.6567455668,866670.3432544332
288,2020-06-16 02:05:00,870408.0,838330.4199027113,866736.5800972887
289,2020-06-16 02:10:00,870563.0,838231.2325045946,866863.7674954054
290,2020-06-16 02:15:00,870581.0,838142.2419107372,867061.7580892628
291,2020-06-16 02:20:00,870655.0,837986.5239885472,867448.4760114528
292,2020-06-16 02:25:00,870870.0,837896.9725976227,867867.0274023773
293,2020-06-16 02:30:00,871048.0,837707.5435164736,868477.4564835264
294,2020-06-16 02:35:00,871268.0,837585.1121409687,869127.8878590313
295,2020-06-16 02:40:00,871527.0,837447.4960950848,869650.5039049152
296,2020-06-16 02:45:00,871820.0,837496.1327231782,870272.8672768218
297,2020-06-16 02:50:00,872254.0,837560.973989972,871000.026010028
298,2020-06-16 02:55:00,872744.0,837501.403531933,871989.596468067
299,2020-06-16 03:00:00,873387.0,837440.5425944563,873190.4574055437
300,2020-06-16 18:10:00,922597.0,891101.0498524036,922588.9501475964
301,2020-06-16 18:15:00,922314.0,891614.2676333186,921291.7323666814
302,2020-06-16 18:20:00,921901.0,891489.9627952486,920411.0372047514
303,2020-06-16 18:25:00,921552.0,891559.0282379935,919747.9717620065
304,2020-06-16 18:30:00,921363.0,890840.1339541066,919864.8660458934
305,2020-06-16 18:35:00,921114.0,890307.007195161,919805.992804839
306,2020-06-16 18:40:00,920827.0,889951.5584853782,919296.4415146218
307,2020-06-16 18:45:00,920316.0,889015.2574370304,919445.7425629696
308,2020-06-16 18:50:00,920003.0,889292.8954247081,918633.1045752919
309,2020-06-16 18:55:00,919624.0,888669.4688917582,918436.5311082418
310,2020-06-16 19:00:00,919123.0,888202.5461343784,917925.4538656216
311,2020-06-16 19:05:00,918759.0,887875.2407646988,917347.7592353012
312,2020-06-16 19:10:00,918274.0,887013.0567369906,917204.9432630094
